Data Year,Utility Number,Utility Name,Short Form,Ownership Code,Ownership,Monthly,Advanced Metering,Delivery Company,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2022,241,Albertville Municipal Utilities Board,,M,Municipal,,X,,,X,X,,,,X,X,,X,X,X
2022,244,City of Albion - (ID),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,261,AGC Division of APGI Inc,,I,Investor Owned,X,X,,,X,,,,,,X,,X,X,X
2022,266,City of Alpha - (MN),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,276,Alcorn County Elec Power Assn,,C,Cooperative,,X,,,X,X,,,,X,X,X,X,X,X
2022,282,Village of Arcadia - (OH),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,289,City of Alexander City,Y,M,Municipal,,,,,,,,,,,,,,X,
2022,295,City of Alexandria - (MN),,M,Municipal,,X,,X,X,,X,,X,,X,X,X,X,X
2022,296,"Alfalfa Electric Coop, Inc",,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,298,City of Alexandria - (LA),,M,Municipal,,X,,,X,,,,X,,X,,X,X,X
2022,305,Alger-Delta Coop Electric Assn,,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,307,Algoma Utility Comm,,M,Municipal,,X,,,X,X,,,X,,X,,X,X,X
2022,308,City of Acworth - (GA),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,309,City of Algona - (IA),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,329,"Allamakee-Clayton El Coop, Inc",Y,C,Cooperative,,X,,,,,,,,X,,,,X,
2022,332,Allegheny Electric Coop Inc,,C,Cooperative,,,,X,,,,,,,X,,,,X
2022,343,AEP Generating Company,,I,Investor Owned,,,,,,,,,,,X,,,,X
2022,366,City of Allendale- (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,367,City of Alliance- (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,385,City of Alma - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,392,Alpena Power Co,,I,Investor Owned,X,X,,,X,,,,X,X,X,X,X,X,X
2022,405,City of Alta - (IA),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,406,City of Altamont - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,407,Altamaha Electric Member Corp,,C,Cooperative,,X,,X,X,X,,,X,X,X,X,X,X,X
2022,408,City of Altamont - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,416,City of Altus - (OK),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,432,City of Alta Vista- (IA),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,471,Amana Society Service Co,,I,Investor Owned,X,X,,,X,,,,,,X,,X,X,X
2022,482,City of Alvarado - (MN),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,540,BP Energy Company,,R,Retail Power Marketer,X,,,,,X,,X,,,X,,X,,X
2022,554,City of Ames - (IA),,M,Municipal,,X,,X,X,X,X,,X,,X,X,X,X,X
2022,560,City of Amherst- (OH),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,562,Amicalola Electric Member Corp,,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,571,City of Amory,,M,Municipal,,X,,,X,X,,,,,X,,X,X,X
2022,577,City of Alcoa Utilities,,M,Municipal,,X,,,X,,,,,X,X,,X,X,X
2022,588,Anadarko Public Works Authority,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,590,City of Anaheim - (CA),,M,Municipal,,X,,X,X,X,X,,X,,X,X,X,X,X
2022,604,City of Andalusia,,M,Municipal,,X,,,X,,,,,,X,,X,X,X
2022,636,City of Anderson - (IN),,M,Municipal,,X,,,X,X,,,X,X,X,X,X,X,X
2022,659,American Transmission Co,,T,Transmission,,,,,,,,,,,X,,,,X
2022,661,Village of Andover - (NY),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,669,Village of Angelica - (NY),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,682,City of Anita - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,689,Connexus Energy,,C,Cooperative,X,X,,,X,X,,,X,,X,X,X,X,X
2022,690,City of Bardstown - (KY),,M,Municipal,,X,,,X,,,,X,,X,,X,X,X
2022,691,City of Anoka,,M,Municipal,,X,,,X,,X,,X,,X,X,X,X,X
2022,694,Anza Electric Coop Inc,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,695,City of Ansley - (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,700,City of Anthon - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,701,City of Anthony - (KS),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,712,Arkansas River Power Authority,,P,Political Subdivision,,,,,,,,,,,X,,,,X
2022,719,Town of Apex- (NC),,M,Municipal,,X,,,X,X,,,X,,X,X,X,X,X
2022,723,City of Aplington,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,727,Appalachian Electric Coop,,C,Cooperative,X,X,,,X,X,,,,X,X,X,X,X,X
2022,733,Appalachian Power Co,,I,Investor Owned,X,X,,X,X,X,X,,X,X,X,X,X,X,X
2022,737,Aguila Irrigation District,Y,P,Political Subdivision,,,,,,,,,,,,,,,
2022,750,Arab Electric Coop Inc,,C,Cooperative,,X,,,X,X,,,,X,X,,X,X,X
2022,752,City of Arapahoe - (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,764,City of Arcadia - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,765,City of Arcadia - (WI),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,768,City of Arcanum - (OH),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,789,Town of Argos,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,792,City of Argyle - (WI),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,796,Arizona Electric Pwr Coop Inc,,C,Cooperative,,,,,,,,,,,X,,,,X
2022,798,Arizona Power Authority,,S,State,,,,,,,,,,,X,,,,X
2022,803,Arizona Public Service Co,,I,Investor Owned,X,X,,X,X,X,X,,X,,X,X,X,X,X
2022,807,Arkansas Electric Coop Corp,,C,Cooperative,,,,X,,,,,,,X,,,,X
2022,814,Entergy Arkansas LLC,,I,Investor Owned,X,X,,X,X,X,X,,X,X,X,X,X,X,X
2022,817,Arkansas Valley Elec Coop Corp,,C,Cooperative,X,X,,,X,,,,X,,X,X,X,X,X
2022,828,City of Arlington - (MN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,831,City of Arlington - (SD),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,832,City of Arma - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,871,Village of Arnold - (NE),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,878,Atmautluak Tribal Utilities,Y,M,Municipal,,,,,,,,,,,,,,X,
2022,887,"Arrowhead Electric Coop, Inc",Y,C,Cooperative,,X,,,,X,,,,,,,,X,
2022,902,Town of Ashburnham - (MA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,906,Town of Ashland,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,907,City of Ashland - (OR),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,911,City of Ashland - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,918,City of Aspen- (CO),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,924,"Associated Electric Coop, Inc",,T,Transmission,,,,,,,X,,,,X,,,,X
2022,925,"Ashley Chicot Elec Coop, Inc",Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,942,Atchison-Holt Electric Coop,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,944,City of Athens - (AL),,M,Municipal,,X,,,X,X,,,,X,X,,X,X,X
2022,947,Athens Utility Board,,M,Municipal,,X,,,X,X,,,,X,X,,X,X,X
2022,963,Atlantic City Electric Co,,I,Investor Owned,X,X,,,X,,X,,X,,X,X,X,X,X
2022,965,Atlantic Municipal Utilities,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,970,Homefield Energy,,R,Retail Power Marketer,X,,,,,X,,,,,X,,X,,X
2022,989,City of Attica - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,993,Auburn Board of Public Works,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,994,City of Auburn - (IN),,M,Municipal,,X,,,X,,,,,,X,,X,X,X
2022,995,City of Auburn - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,998,City of Augusta - (KS),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1000,City of Augusta - (AR),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1002,City of Aurelia - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1004,City of Aurora - (SD),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1009,City of Austin - (MN),,M,Municipal,,X,,X,X,X,X,,X,X,X,X,X,X,X
2022,1015,Austin Energy,,M,Municipal,,X,,X,X,X,X,,,X,X,X,X,X,X
2022,1024,City of Ava - (MO),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1028,Town of Avilla - (IN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1033,City of Axtell - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1036,Town of Ayden - (NC),Y,M,Municipal,,X,,,,X,,,,,,,,X,
2022,1046,City of Aztec - (NM),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,1050,City of Azusa,,M,Municipal,,X,,,X,X,X,,X,,X,X,X,X,X
2022,1062,BARC Electric Coop Inc,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,1080,City of Badger - (SD),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1101,Bagley Public Utilities Comm,Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,1119,Town of Bainbridge - (IN),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1148,City of Baldwin City- (KS),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,1149,Baldwin County El Member Corp,,C,Cooperative,,X,,,X,,,,,,X,X,X,X,X
2022,1167,Baltimore Gas & Electric Co,,I,Investor Owned,X,X,,X,X,X,X,,X,,X,X,X,X,X
2022,1169,Bailey County Elec Coop Assn,,C,Cooperative,,X,,,X,,,,X,X,X,,X,X,X
2022,1170,Bamberg Board of Public Works,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1172,Bancroft Municipal Utilities,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1175,"Bandera Electric Coop, Inc",,C,Cooperative,,X,,,X,X,,,X,,X,X,X,X,X
2022,1176,City of Bandon - (OR),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1179,Versant Power,,I,Investor Owned,X,X,,,X,,,,X,,X,X,X,X,X
2022,1181,Village of Bangor - (WI),Y,M,Municipal,,X,,,,X,,,,,,,,X,
2022,1192,City of Banning - (CA),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,1196,Village of Baraga - (MI),,M,Municipal,,X,,,X,,,,X,,X,,X,X,X
2022,1201,Barbourville Utility Comm,Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1205,City of Bardwell - (KY),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1208,Town of Bargersville - (IN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1232,City of Barnesville - (GA),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1233,City of Barnesville - (MN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1251,Barron Electric Coop,,C,Cooperative,,X,,X,X,X,X,,X,,X,X,X,X,X
2022,1273,"Bartlett Electric Coop, Inc",,C,Cooperative,,X,,,X,,X,,X,X,X,X,X,X,X
2022,1276,"Barrow Utils & Elec Coop, Inc",Y,C,Cooperative,,,,,,,,,,,,,,X,
2022,1278,City of Barron - (WI),Y,M,Municipal,,X,,,,X,,,,,,,,X,
2022,1279,Barry Electric Coop,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,1283,Bartholomew County Rural E M C,,C,Cooperative,,X,,,X,X,,,X,,X,X,X,X,X
2022,1287,City of Bartlett - (TX),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1299,"Barton Village, Inc",Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1300,City of Bartow - (FL),,M,Municipal,,X,,,X,,,,X,,X,X,X,X,X
2022,1301,"Barton County Elec Coop, Inc",Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,1307,Basin Electric Power Coop,,C,Cooperative,,X,,,X,,,,,,X,,X,X,X
2022,1324,City of Bastrop - (TX),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1325,City of Batavia - (IL),,M,Municipal,,X,,,X,,,,,,X,,X,X,X
2022,1326,Village of Bartley - (NE),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1343,Bath Electric Gas & Water,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1346,City of Battle Creek- (NE),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1353,City of Baudette - (MN),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1366,City of Bay City - (MI),,M,Municipal,,X,,,X,X,X,,,,X,X,X,X,X
2022,1367,"Bayfield Electric Coop, Inc",Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,1374,City of Bayard - (NE),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1386,Village of Beach City - (OH),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1387,City of Benham,Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1417,"Beartooth Electric Coop, Inc",Y,C,Cooperative,,X,,,,X,,,,,,,,X,
2022,1427,City of Beatrice - (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1434,Beaver City Corporation,Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,1435,City of Beaver City - (NE),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1456,Town of Bedford - (VA),,M,Municipal,,X,,,X,,,,,X,X,X,X,X,X
2022,1458,"Beauregard Electric Coop, Inc",,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,1494,Town of Belhaven - (NC),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1512,City of Belleville - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1515,City of Bellevue - (IA),Y,M,Municipal,,,,,,,,,,X,,,,X,
2022,1519,City of Bellville - (TX),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1522,Village of Belmont - (WI),Y,M,Municipal,,X,,,,X,,,,,,,,X,
2022,1523,Town of Belmont - (MA),Y,M,Municipal,,X,,,,X,,,,,,,,X,
2022,1525,City of Beloit - (KS),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,1529,"Beltrami Electric Coop, Inc",,C,Cooperative,,X,,X,X,X,X,,X,X,X,X,X,X,X
2022,1554,City of Benkelman - (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1566,City of Bennettsville - (SC),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1571,Town of Benson - (NC),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1572,Badger Power Marketing Authority,,W,Wholesale Power Marketer,,,,,X,,,,,,X,,,X,X
2022,1573,City of Benson - (MN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1578,Benton County,,M,Municipal,,X,,,X,X,,,,X,X,,X,X,X
2022,1579,PUD No 1 of Benton County,,P,Political Subdivision,,X,,,X,,X,,X,,X,X,X,X,X
2022,1581,City of Benton - (AR),,M,Municipal,,X,,,X,,,,,,X,,X,X,X
2022,1582,City of Benton - (KY),,M,Municipal,,X,,,X,,,,,X,X,,X,X,X
2022,1585,Village of Benton - (WI),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1586,City of Bentonville - (AR),,M,Municipal,,X,,,X,,,,X,,X,,X,X,X
2022,1591,"Big Country Electric Coop, Inc",,C,Cooperative,,X,,,X,X,,,X,,X,X,X,X,X
2022,1601,City of Beresford,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1604,Village of Bergen - (NY),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1611,"Messer Energy Services, Inc.",,R,Retail Power Marketer,X,,,,,,,,,,X,,X,,X
2022,1613,Berkeley Electric Coop Inc,,C,Cooperative,X,X,,X,X,X,X,,X,,X,X,X,X,X
2022,1615,Town of Berlin - (MD),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1618,Borough of Berlin - (PA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1625,Benton Rural Electric Assn,,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,1640,City of Bessemer Utilities,,M,Municipal,,X,,,X,,,,,X,X,,X,X,X
2022,1647,City of Bethany - (MO),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1648,Village of Bethany - (IL),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1650,Village of Bethel - (OH),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1671,Big Flat Electric Coop Inc,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,1675,Big Horn Rural Electric Co,Y,C,Cooperative,,X,,,,X,,,,,,,,X,
2022,1677,Village of Bloomdale - (OH),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1683,"Big Horn County Elec Coop, Inc",Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,1692,Big Rivers Electric Corp,,C,Cooperative,,,,,,,,,,,X,,,,X
2022,1698,City of Big Stone City - (SD),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1702,City of Biggs - (CA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1708,Big Sandy Rural Elec Coop Corp,,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,1723,"Big Bend Electric Coop, Inc",,C,Cooperative,,X,,,X,,X,,X,,X,X,X,X,X
2022,1726,City of Blue Mound - (KS),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1736,Blachly-Lane County Coop El Assn,Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,1738,Bonneville Power Administration,,F,Federal,X,X,,,,,,,,,X,,X,X,X
2022,1747,Birch Creek Village Elec Util - (AK),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1753,City of Biwabik - (MN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1763,"Black River Electric Coop, Inc - (SC)",,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,1764,Black Diamond Power Co,,I,Investor Owned,X,X,,,X,,,,,,X,,X,X,X
2022,1765,Village of Black Earth - (WI),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1769,"Black Hills Electric Coop, Inc",,C,Cooperative,X,X,,X,X,X,,,X,,X,X,X,X,X
2022,1775,Black River Electric Coop - (MO),,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,1776,City of Black River Falls,,M,Municipal,,X,,,X,X,,,X,,X,,X,X,X
2022,1779,Town of Basin - (WY),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1780,Black Warrior Elec Member Corp,,C,Cooperative,,X,,,X,,,,,,X,,X,X,X
2022,1795,Town of Blackstone - (VA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1800,City of Blackwell - (OK),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1818,City of Blaine - (WA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1823,Borough of Blakely - (PA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1824,City of Bigelow - (MN),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1826,City of Blakely - (GA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1832,Village of Blanchester - (OH),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1839,City of Blanding - (UT),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1857,Block Island Utility District,,P,Political Subdivision,X,X,,,X,,,,X,,X,,X,X,X
2022,1866,Bloomer Electric & Water Co,Y,M,Municipal,,X,,,,X,,,,,,,,X,
2022,1869,City of Bloomfield - (IA),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,1871,City of Blooming Prairie - (MN),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1876,City of Blountstown - (FL),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1883,Blue Earth Light & Water,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1884,BENCO Electric Cooperative,,C,Cooperative,,X,,,X,X,,,X,,X,X,X,X,X
2022,1886,Blue Grass Energy Coop Corp,,C,Cooperative,,X,,,X,X,,,X,X,X,X,X,X,X
2022,1889,Blue Ridge Elec Member Corp - (NC),,C,Cooperative,,X,,X,X,X,X,,X,X,X,X,X,X,X
2022,1890,Blue Ridge Electric Coop Inc - (SC),,C,Cooperative,,X,,,X,,,,X,,X,X,X,X,X
2022,1891,Blue Ridge Mountain EMC - (GA),,C,Cooperative,,X,,,X,,,,,X,X,X,X,X,X
2022,1892,"Bluebonnet Electric Coop, Inc",,C,Cooperative,,X,,,X,,,,X,X,X,X,X,X,X
2022,1896,City of Bluffton - (IN),,M,Municipal,,X,,,X,,,,,,X,,X,X,X
2022,1898,"Bon Homme Yankton El Assn, Inc",Y,C,Cooperative,,X,,,,,,,,,,,,X,
2022,1913,City of Boerne,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1936,Bolivar Energy Authority,,M,Municipal,,X,,,X,,,,,X,X,X,X,X,X
2022,1955,City of Bridgeport Utilities - (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1956,City of Bonners Ferry,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1968,Boone Valley Electric Coop,Y,C,Cooperative,,,,,,,,,,,,,,X,
2022,1970,Village of Boonville - (NY),Y,M,Municipal,,X,,,,,,,,X,,,,X,
2022,1987,Town of Bostic - (NC),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,1997,City of Boscobel - (WI),,M,Municipal,,X,,,X,X,,,X,,X,,X,X,X
2022,2001,Boone Electric Coop,,C,Cooperative,,X,,,X,X,,,X,,X,X,X,X,X
2022,2008,City of Boulder City - (NV),,M,Municipal,X,X,,,X,X,X,,X,,X,,X,X,X
2022,2010,City of Bountiful,,M,Municipal,X,X,,,X,,,,X,X,X,,X,X,X
2022,2049,"Bowie-Cass Electric Coop, Inc",,C,Cooperative,,X,,,X,,,,X,X,X,X,X,X,X
2022,2050,City of Bowie - (TX),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,2054,City of Bowling Green - (OH),,M,Municipal,,X,,,X,,,,,,X,X,X,X,X
2022,2056,City of Bowling Green - (KY),,M,Municipal,,X,,,X,X,,,,X,X,X,X,X,X
2022,2064,Town of Boyce,Y,M,Municipal,,,,,,,,,,,,,,X,
2022,2086,Town of Boylston - (MA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,2089,Bozrah Light & Power Company,,M,Municipal,,X,,,X,,X,,,,X,X,X,X,X
2022,2120,Village of Brainard - (NE),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,2128,Village of Bradner - (OH),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,2135,City of Brady - (TX),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,2138,Brainerd Public Utilities,Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,2144,Town of Braintree - (MA),,M,Municipal,,X,,,X,,,,X,,X,X,X,X,X
2022,2152,Powerex Corporation,,W,Wholesale Power Marketer,,,,,,,,,,,X,,,,X
2022,2172,Brazos Electric Power Coop Inc,,C,Cooperative,,,,,,,,,,,X,,,,X
2022,2182,City of Breckenridge- (MN),Y,M,Municipal,,,,,,,,,,,,,,X,
2022,2183,City of Breda - (IA),Y,M,Municipal,,X,,,,,,,,,,,,X,
2022,2188,City of Breese - (IL),Y,M,Municipal,,X,,,,,,,,,,,,X,
